#group,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,topic
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T12:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:48:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:52:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T13:56:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:00:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:04:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:08:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:12:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:16:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:20:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:24:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:28:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:32:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:36:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:40:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
,,0,2023-06-21T05:43:12.987039439Z,2023-06-22T05:43:12.987039439Z,2023-06-21T14:44:00Z,1,AvgPF,mqtt_consumer,baadalvm,/devices/swsn/FSM-8822980/0
